#id	length	GC	avg.qual	sample
m84073_231201_024147_s2/105712913/ccs	628	57.48	40.00	5C
m84073_231201_024147_s2/75239160/ccs	0	0.00	40.00	5C
m84073_231201_024147_s2/127800191/ccs	860	49.07	40.00	5C
m84073_231201_024147_s2/105845695/ccs	103	50.49	40.00	5C
m84073_231201_024147_s2/105910791/ccs	404	52.48	40.00	5C
m84073_231201_024147_s2/84479722/ccs	353	42.21	25.61	5C
m84073_231201_024147_s2/105976466/ccs	623	57.14	40.00	5C
m84073_231201_024147_s2/128063007/ccs	1069	41.44	39.25	5C
m84073_231201_024147_s2/95621589/ccs	1070	41.21	22.22	5C
m84073_231201_024147_s2/84743374/ccs	354	40.68	40.00	5C
m84073_231201_024147_s2/128388384/ccs	29	62.07	39.69	5C
m84073_231201_024147_s2/84938181/ccs	346	40.46	40.00	5C
m84073_231201_024147_s2/95949160/ccs	349	42.41	29.17	5C
m84073_231201_024147_s2/75764910/ccs	633	57.82	35.07	5C
m84073_231201_024147_s2/128585241/ccs	604	52.81	39.66	5C
m84073_231201_024147_s2/96145700/ccs	697	39.89	29.44	5C
m84073_231201_024147_s2/76025445/ccs	349	42.41	23.74	5C
m84073_231201_024147_s2/96474167/ccs	15	40.00	40.00	5C
m84073_231201_024147_s2/76484522/ccs	319	43.26	27.01	5C
m84073_231201_024147_s2/96801195/ccs	29	62.07	34.83	5C
m84073_231201_024147_s2/79434078/ccs	358	39.94	22.71	5C
m84073_231201_024147_s2/79498873/ccs	332	44.58	40.00	5C
m84073_231201_024147_s2/90247130/ccs	623	56.98	40.00	5C
m84073_231201_024147_s2/76746262/ccs	337	48.07	22.34	5C
m84073_231201_024147_s2/85986410/ccs	361	41.00	27.13	5C
m84073_231201_024147_s2/90640350/ccs	346	40.46	33.20	5C
m84073_231201_024147_s2/86708166/ccs	508	60.83	40.00	5C
m84073_231201_024147_s2/69014818/ccs	1069	41.44	40.00	5C
m84073_231201_024147_s2/77337533/ccs	1208	50.17	39.99	5C
m84073_231201_024147_s2/97785444/ccs	356	38.76	40.00	5C
m84073_231201_024147_s2/97850953/ccs	707	54.31	22.47	5C
m84073_231201_024147_s2/77598049/ccs	1069	41.44	30.26	5C
m84073_231201_024147_s2/98111588/ccs	660	54.85	30.03	5C
m84073_231201_024147_s2/69603167/ccs	396	36.87	40.00	5C
m84073_231201_024147_s2/77794683/ccs	103	50.49	27.94	5C
m84073_231201_024147_s2/91688456/ccs	480	53.33	20.91	5C
m84073_231201_024147_s2/87365440/ccs	346	40.46	40.00	5C
m84073_231201_024147_s2/69997838/ccs	1160	55.09	31.77	5C
m84073_231201_024147_s2/87429851/ccs	0	0.00	31.77	5C
m84073_231201_024147_s2/70127135/ccs	346	40.46	40.00	5C
m84073_231201_024147_s2/92279093/ccs	229	34.50	40.00	5C
m84073_231201_024147_s2/98965145/ccs	476	54.41	40.00	5C
m84073_231201_024147_s2/70719078/ccs	462	48.70	40.00	5C
m84073_231201_024147_s2/71044370/ccs	514	60.51	25.36	5C
m84073_231201_024147_s2/100078811/ccs	798	48.12	26.10	5C
m84073_231201_024147_s2/93392645/ccs	1301	51.81	20.65	5C
