#id	length	GC	avg.qual	sample
m84073_231201_024147_s2/241177745/ccs	664	44.13	40.00	5E_control
m84073_231201_024147_s2/246748795/ccs	482	48.55	39.64	5E_control
m84073_231201_024147_s2/235540347/ccs	666	43.84	30.54	5E_control
m84073_231201_024147_s2/241177781/ccs	399	40.85	23.20	5E_control
m84073_231201_024147_s2/235540402/ccs	481	48.02	40.00	5E_control
m84073_231201_024147_s2/235541616/ccs	482	48.13	39.98	5E_control
m84073_231201_024147_s2/235542384/ccs	481	48.44	40.00	5E_control
m84073_231201_024147_s2/263721841/ccs	482	48.34	25.94	5E_control
m84073_231201_024147_s2/241241326/ccs	399	40.85	39.98	5E_control
m84073_231201_024147_s2/263721377/ccs	670	43.88	27.20	5E_control
m84073_231201_024147_s2/263721801/ccs	665	43.76	39.99	5E_control
m84073_231201_024147_s2/241242235/ccs	664	43.98	39.59	5E_control
m84073_231201_024147_s2/263721404/ccs	665	43.61	40.00	5E_control
m84073_231201_024147_s2/241242843/ccs	664	43.67	36.01	5E_control
m84073_231201_024147_s2/263721599/ccs	482	48.55	40.00	5E_control
m84073_231201_024147_s2/235605204/ccs	665	43.61	40.00	5E_control
m84073_231201_024147_s2/235606386/ccs	482	48.55	40.00	5E_control
m84073_231201_024147_s2/246877792/ccs	665	43.61	40.00	5E_control
m84073_231201_024147_s2/241307362/ccs	663	44.04	33.51	5E_control
m84073_231201_024147_s2/235607054/ccs	481	48.02	40.00	5E_control
m84073_231201_024147_s2/235606479/ccs	483	48.86	20.84	5E_control
m84073_231201_024147_s2/263786837/ccs	483	48.24	40.00	5E_control
m84073_231201_024147_s2/241309014/ccs	482	48.55	25.71	5E_control
m84073_231201_024147_s2/258150018/ccs	481	48.02	40.00	5E_control
m84073_231201_024147_s2/263787603/ccs	482	48.13	40.00	5E_control
m84073_231201_024147_s2/263786093/ccs	481	48.23	34.56	5E_control
m84073_231201_024147_s2/258149880/ccs	481	48.02	40.00	5E_control
m84073_231201_024147_s2/258149958/ccs	665	43.61	39.99	5E_control
m84073_231201_024147_s2/235607672/ccs	413	46.97	21.90	5E_control
