#id	length	GC	avg.qual	sample
m84073_231201_024147_s2/264049931/ccs	949	38.78	40.00	5B
m84073_231201_024147_s2/264114960/ccs	949	38.78	40.00	5B
m84073_231201_024147_s2/235869038/ccs	594	51.68	40.00	5B
m84073_231201_024147_s2/252777473/ccs	949	38.88	40.00	5B
m84073_231201_024147_s2/235934141/ccs	1228	51.06	40.00	5B
m84073_231201_024147_s2/235869418/ccs	349	42.41	40.00	5B
m84073_231201_024147_s2/247207220/ccs	349	42.41	40.00	5B
m84073_231201_024147_s2/258478370/ccs	349	42.41	28.14	5B
m84073_231201_024147_s2/247206809/ccs	949	38.78	40.00	5B
m84073_231201_024147_s2/258478564/ccs	949	38.78	29.11	5B
m84073_231201_024147_s2/235933046/ccs	272	38.60	40.00	5B
m84073_231201_024147_s2/258543125/ccs	949	38.78	35.71	5B
m84073_231201_024147_s2/241571606/ccs	948	38.71	40.00	5B
m84073_231201_024147_s2/247271751/ccs	949	38.78	40.00	5B
m84073_231201_024147_s2/247272545/ccs	949	38.78	40.00	5B
m84073_231201_024147_s2/258543779/ccs	349	42.41	40.00	5B
m84073_231201_024147_s2/258544918/ccs	1228	51.06	20.85	5B
m84073_231201_024147_s2/235998957/ccs	349	42.41	29.78	5B
m84073_231201_024147_s2/247272604/ccs	569	46.22	26.04	5B
m84073_231201_024147_s2/235935472/ccs	145	43.45	40.00	5B
m84073_231201_024147_s2/252972165/ccs	950	38.74	40.00	5B
m84073_231201_024147_s2/252908853/ccs	589	51.27	40.00	5B
m84073_231201_024147_s2/264245269/ccs	949	38.88	40.00	5B
m84073_231201_024147_s2/258609587/ccs	349	42.41	40.00	5B
m84073_231201_024147_s2/247338190/ccs	949	38.88	36.88	5B
m84073_231201_024147_s2/252907449/ccs	330	44.55	40.00	5B
m84073_231201_024147_s2/258610466/ccs	948	38.82	38.60	5B
m84073_231201_024147_s2/258610044/ccs	949	38.78	40.00	5B
m84073_231201_024147_s2/247337491/ccs	948	38.82	29.35	5B
m84073_231201_024147_s2/264309767/ccs	949	38.78	40.00	5B
m84073_231201_024147_s2/258674335/ccs	949	38.88	40.00	5B
m84073_231201_024147_s2/252973959/ccs	949	38.88	40.00	5B
m84073_231201_024147_s2/258676021/ccs	949	38.88	28.70	5B
m84073_231201_024147_s2/258676003/ccs	947	38.86	40.00	5B
m84073_231201_024147_s2/252973132/ccs	353	44.48	25.10	5B
m84073_231201_024147_s2/235999909/ccs	949	38.78	40.00	5B
m84073_231201_024147_s2/264375435/ccs	949	38.88	40.00	5B
m84073_231201_024147_s2/247403452/ccs	949	38.78	32.01	5B
m84073_231201_024147_s2/253039715/ccs	586	52.39	35.14	5B
m84073_231201_024147_s2/253039130/ccs	950	38.84	40.00	5B
m84073_231201_024147_s2/235999952/ccs	1029	40.04	40.00	5B
m84073_231201_024147_s2/264375412/ccs	354	43.79	28.07	5B
m84073_231201_024147_s2/236000520/ccs	949	38.88	40.00	5B
m84073_231201_024147_s2/264311812/ccs	949	38.78	40.00	5B
m84073_231201_024147_s2/253038184/ccs	949	38.88	40.00	5B
m84073_231201_024147_s2/253103673/ccs	949	38.78	26.94	5B
m84073_231201_024147_s2/236064292/ccs	954	38.57	31.04	5B
m84073_231201_024147_s2/241766322/ccs	349	42.41	40.00	5B
m84073_231201_024147_s2/236064815/ccs	330	44.24	40.00	5B
m84073_231201_024147_s2/236065693/ccs	68	57.35	40.00	5B
m84073_231201_024147_s2/258870825/ccs	949	38.78	40.00	5B
m84073_231201_024147_s2/236065413/ccs	949	38.88	40.00	5B
m84073_231201_024147_s2/253105603/ccs	949	38.78	39.46	5B
m84073_231201_024147_s2/236066596/ccs	949	38.88	40.00	5B
m84073_231201_024147_s2/253171247/ccs	84	38.10	40.00	5B
m84073_231201_024147_s2/253234981/ccs	949	38.78	40.00	5B
m84073_231201_024147_s2/241832389/ccs	949	38.78	40.00	5B
m84073_231201_024147_s2/247469328/ccs	948	38.82	40.00	5B
m84073_231201_024147_s2/241768106/ccs	950	38.84	40.00	5B
m84073_231201_024147_s2/247468805/ccs	949	38.78	40.00	5B
m84073_231201_024147_s2/241832199/ccs	949	38.88	40.00	5B
m84073_231201_024147_s2/258872730/ccs	960	39.06	28.15	5B
m84073_231201_024147_s2/258872211/ccs	349	42.41	40.00	5B
m84073_231201_024147_s2/236131303/ccs	349	42.41	40.00	5B
m84073_231201_024147_s2/236195398/ccs	949	38.78	23.18	5B
